Timestamp,Source IP,Destination IP,Authorized,Traffic Value
2025-05-07 12:11:17,192.168.1.100,13.107.21.200,Yes,832581
2025-05-07 12:11:17,192.168.1.100,10.0.0.1,Yes,941327
2025-05-07 12:11:17,192.168.1.101,1.1.1.1,No,661509
2025-05-07 12:11:17,192.168.1.101,204.152.189.116,Yes,1253264
2025-05-07 12:11:17,192.168.1.101,13.107.21.200,Yes,350923
2025-05-07 12:11:17,192.168.1.102,1.1.1.1,Yes,842771
2025-05-07 12:11:17,192.168.1.102,172.16.0.5,Yes,343505
2025-05-07 12:11:17,192.168.1.102,192.168.10.25,Yes,725668
2025-05-07 12:11:17,192.168.1.102,192.168.10.25,Yes,590720
2025-05-07 12:11:17,192.168.1.103,13.107.21.200,Yes,1793478
2025-05-07 12:11:17,192.168.1.103,10.10.10.1,Yes,911421
2025-05-07 12:11:17,192.168.1.103,8.8.8.8,Yes,992502
2025-05-07 12:11:17,192.168.1.103,1.1.1.1,Yes,1079943
2025-05-07 12:11:17,192.168.1.104,192.168.10.25,Yes,687770
2025-05-07 12:11:17,192.168.1.104,204.152.189.116,Yes,834478
2025-05-07 12:11:17,192.168.1.104,172.16.0.5,No,778335
2025-05-07 12:11:17,192.168.1.105,1.1.1.1,Yes,808919
2025-05-07 12:11:17,192.168.1.105,172.16.0.5,Yes,768379
2025-05-07 12:11:17,192.168.1.105,10.10.10.1,Yes,1226524
2025-05-07 12:11:17,192.168.1.106,10.0.0.1,Yes,535533
2025-05-07 12:11:17,192.168.1.106,10.10.10.1,No,1265328
2025-05-07 12:11:17,192.168.1.106,192.168.10.25,Yes,412454
2025-05-07 12:11:17,192.168.1.106,10.10.10.1,Yes,1405264
