Timestamp,Source IP,Destination IP,Authorized,Traffic Value
2025-05-07 11:59:48,192.168.1.100,10.10.10.1,Yes,1143040
2025-05-07 11:59:48,192.168.1.100,192.168.10.25,Yes,1022509
2025-05-07 11:59:48,192.168.1.101,8.8.8.8,Yes,1098615
2025-05-07 11:59:48,192.168.1.101,10.0.0.1,Yes,1370053
2025-05-07 11:59:48,192.168.1.102,13.107.21.200,Yes,829741
2025-05-07 11:59:48,192.168.1.102,10.10.10.1,Yes,478699
2025-05-07 11:59:48,192.168.1.103,192.168.10.25,No,806385
2025-05-07 11:59:48,192.168.1.103,1.1.1.1,Yes,788175
2025-05-07 11:59:48,192.168.1.103,8.8.8.8,Yes,1438892
2025-05-07 11:59:48,192.168.1.103,10.10.10.1,Yes,701567
2025-05-07 11:59:48,192.168.1.104,172.16.0.5,Yes,457497
2025-05-07 11:59:48,192.168.1.104,204.152.189.116,Yes,378600
2025-05-07 11:59:48,192.168.1.104,8.8.8.8,Yes,473522
2025-05-07 11:59:48,192.168.1.104,13.107.21.200,Yes,555702
2025-05-07 11:59:48,192.168.1.105,13.107.21.200,Yes,748433
2025-05-07 11:59:48,192.168.1.105,1.1.1.1,Yes,1505190
2025-05-07 11:59:48,192.168.1.106,13.107.21.200,Yes,859897
2025-05-07 11:59:48,192.168.1.106,10.0.0.1,Yes,1774244
2025-05-07 11:59:48,192.168.1.106,10.10.10.1,No,1545908
