Timestamp,Source IP,Destination IP,Authorized,Traffic Value
2025-05-07 12:02:48,192.168.1.100,13.107.21.200,Yes,1259055
2025-05-07 12:02:48,192.168.1.100,10.10.10.1,No,821371
2025-05-07 12:02:48,192.168.1.100,1.1.1.1,No,1604620
2025-05-07 12:02:48,192.168.1.101,192.168.10.25,Yes,1425918
2025-05-07 12:02:48,192.168.1.101,172.16.0.5,Yes,1374345
2025-05-07 12:02:48,192.168.1.101,204.152.189.116,Yes,1185671
2025-05-07 12:02:48,192.168.1.102,10.0.0.1,Yes,971453
2025-05-07 12:02:48,192.168.1.102,1.1.1.1,Yes,2021394
2025-05-07 12:02:48,192.168.1.102,10.0.0.1,Yes,1946919
2025-05-07 12:02:48,192.168.1.103,10.0.0.1,Yes,1798662
2025-05-07 12:02:48,192.168.1.103,10.10.10.1,Yes,1046005
2025-05-07 12:02:48,192.168.1.103,8.8.8.8,Yes,959172
2025-05-07 12:02:48,192.168.1.103,192.168.10.25,Yes,1493528
2025-05-07 12:02:48,192.168.1.104,13.107.21.200,Yes,838545
2025-05-07 12:02:48,192.168.1.104,13.107.21.200,Yes,1775258
2025-05-07 12:02:48,192.168.1.104,204.152.189.116,Yes,598168
2025-05-07 12:02:48,192.168.1.105,172.16.0.5,No,1661036
2025-05-07 12:02:48,192.168.1.105,10.10.10.1,Yes,1151975
2025-05-07 12:02:48,192.168.1.106,13.107.21.200,Yes,898299
2025-05-07 12:02:48,192.168.1.106,172.16.0.5,Yes,1269120
2025-05-07 12:02:48,192.168.1.106,10.10.10.1,Yes,879778
2025-05-07 12:02:48,192.168.1.106,13.107.21.200,No,1533474
