Timestamp,Source IP,Destination IP,Authorized,Traffic Value
2025-05-07 12:00:25,192.168.1.100,204.152.189.116,Yes,1175132
2025-05-07 12:00:25,192.168.1.100,10.10.10.1,Yes,494182
2025-05-07 12:00:25,192.168.1.100,8.8.8.8,Yes,861697
2025-05-07 12:00:25,192.168.1.100,10.0.0.1,Yes,73299
2025-05-07 12:00:25,192.168.1.101,172.16.0.5,Yes,850016
2025-05-07 12:00:25,192.168.1.101,1.1.1.1,Yes,747625
2025-05-07 12:00:25,192.168.1.101,1.1.1.1,Yes,1691716
2025-05-07 12:00:25,192.168.1.102,13.107.21.200,No,1113329
2025-05-07 12:00:25,192.168.1.102,204.152.189.116,No,1290160
2025-05-07 12:00:25,192.168.1.103,8.8.8.8,Yes,751869
2025-05-07 12:00:25,192.168.1.103,13.107.21.200,Yes,843303
2025-05-07 12:00:25,192.168.1.103,8.8.8.8,Yes,1485656
2025-05-07 12:00:25,192.168.1.103,10.0.0.1,Yes,6755
2025-05-07 12:00:25,192.168.1.104,204.152.189.116,Yes,1067293
2025-05-07 12:00:25,192.168.1.104,8.8.8.8,Yes,639348
2025-05-07 12:00:25,192.168.1.104,8.8.8.8,Yes,477054
2025-05-07 12:00:25,192.168.1.104,204.152.189.116,Yes,851322
2025-05-07 12:00:25,192.168.1.105,10.10.10.1,Yes,1295652
2025-05-07 12:00:25,192.168.1.105,8.8.8.8,No,745327
2025-05-07 12:00:25,192.168.1.105,8.8.8.8,Yes,896452
2025-05-07 12:00:25,192.168.1.105,1.1.1.1,Yes,1355574
2025-05-07 12:00:25,192.168.1.106,8.8.8.8,Yes,773506
2025-05-07 12:00:25,192.168.1.106,1.1.1.1,Yes,1206910
2025-05-07 12:00:25,192.168.1.106,1.1.1.1,Yes,1135148
