Timestamp,Source IP,Destination IP,Authorized,Traffic Value
2025-05-07 11:58:28,192.168.1.100,13.107.21.200,Yes,376312
2025-05-07 11:58:28,192.168.1.100,172.16.0.5,Yes,1195790
2025-05-07 11:58:28,192.168.1.101,172.16.0.5,No,946539
2025-05-07 11:58:28,192.168.1.101,8.8.8.8,Yes,1303733
2025-05-07 11:58:28,192.168.1.102,204.152.189.116,No,783088
2025-05-07 11:58:28,192.168.1.102,13.107.21.200,Yes,5311
2025-05-07 11:58:28,192.168.1.103,10.10.10.1,Yes,1995668
2025-05-07 11:58:28,192.168.1.103,8.8.8.8,Yes,1563671
2025-05-07 11:58:28,192.168.1.103,1.1.1.1,Yes,601411
2025-05-07 11:58:28,192.168.1.104,172.16.0.5,Yes,1055288
2025-05-07 11:58:28,192.168.1.104,1.1.1.1,Yes,1658339
2025-05-07 11:58:28,192.168.1.104,192.168.10.25,Yes,1088107
2025-05-07 11:58:28,192.168.1.104,8.8.8.8,Yes,1293298
2025-05-07 11:58:28,192.168.1.105,172.16.0.5,No,1292129
2025-05-07 11:58:28,192.168.1.105,13.107.21.200,Yes,445979
2025-05-07 11:58:28,192.168.1.105,8.8.8.8,No,4605
2025-05-07 11:58:28,192.168.1.106,172.16.0.5,Yes,1254242
2025-05-07 11:58:28,192.168.1.106,1.1.1.1,Yes,1633425
2025-05-07 11:58:28,192.168.1.106,1.1.1.1,Yes,1461908
