Timestamp,Source IP,Destination IP,Authorized,Traffic Value
2025-05-07 11:58:26,192.168.1.100,10.0.0.1,Yes,476482
2025-05-07 11:58:26,192.168.1.100,8.8.8.8,Yes,1318388
2025-05-07 11:58:26,192.168.1.100,10.10.10.1,Yes,743589
2025-05-07 11:58:26,192.168.1.101,172.16.0.5,Yes,822697
2025-05-07 11:58:26,192.168.1.101,204.152.189.116,Yes,861106
2025-05-07 11:58:26,192.168.1.102,1.1.1.1,Yes,1588781
2025-05-07 11:58:26,192.168.1.102,8.8.8.8,No,1058703
2025-05-07 11:58:26,192.168.1.102,13.107.21.200,Yes,942885
2025-05-07 11:58:26,192.168.1.103,172.16.0.5,Yes,781286
2025-05-07 11:58:26,192.168.1.103,10.0.0.1,Yes,307734
2025-05-07 11:58:26,192.168.1.104,192.168.10.25,Yes,1609882
2025-05-07 11:58:26,192.168.1.104,204.152.189.116,Yes,1678113
2025-05-07 11:58:26,192.168.1.104,10.0.0.1,Yes,412067
2025-05-07 11:58:26,192.168.1.105,204.152.189.116,Yes,2011687
2025-05-07 11:58:26,192.168.1.105,8.8.8.8,Yes,809794
2025-05-07 11:58:26,192.168.1.106,204.152.189.116,Yes,762863
2025-05-07 11:58:26,192.168.1.106,172.16.0.5,Yes,1519183
