Timestamp,Source IP,Destination IP,Authorized,Traffic Value
2025-05-05 23:19:05,192.168.1.100,8.8.8.8,Yes,1757569
2025-05-05 23:19:05,192.168.1.100,172.16.0.5,Yes,1241521
2025-05-05 23:19:05,192.168.1.101,204.152.189.116,Yes,451977
2025-05-05 23:19:05,192.168.1.101,10.10.10.1,Yes,722204
2025-05-05 23:19:05,192.168.1.102,10.10.10.1,Yes,1085600
2025-05-05 23:19:05,192.168.1.102,204.152.189.116,No,449155
2025-05-05 23:19:05,192.168.1.102,204.152.189.116,No,1400584
2025-05-05 23:19:05,192.168.1.102,13.107.21.200,Yes,1335456
2025-05-05 23:19:05,192.168.1.103,1.1.1.1,Yes,1384510
2025-05-05 23:19:05,192.168.1.103,1.1.1.1,Yes,584941
2025-05-05 23:19:05,192.168.1.103,8.8.8.8,Yes,1207334
2025-05-05 23:19:05,192.168.1.104,13.107.21.200,Yes,682908
2025-05-05 23:19:05,192.168.1.104,10.0.0.1,Yes,1401151
2025-05-05 23:19:05,192.168.1.104,1.1.1.1,Yes,1353927
2025-05-05 23:19:05,192.168.1.105,10.10.10.1,Yes,231107
2025-05-05 23:19:05,192.168.1.105,204.152.189.116,Yes,1214038
2025-05-05 23:19:05,192.168.1.105,10.0.0.1,Yes,1506988
2025-05-05 23:19:05,192.168.1.106,192.168.10.25,No,1062622
2025-05-05 23:19:05,192.168.1.106,13.107.21.200,No,1503689
2025-05-05 23:19:05,192.168.1.106,10.10.10.1,Yes,1126032
